iter	MultiClass
0	1.709219078
1	1.482379533
2	1.317718426
3	1.187855972
4	1.091536193
5	1.006364539
6	0.9338816027
7	0.8742121531
8	0.8250609967
9	0.7783010673
10	0.7372577546
11	0.6984153955
12	0.6646830444
13	0.6355133012
14	0.6049779655
15	0.584539417
16	0.5620661521
17	0.5430213178
18	0.5241161089
19	0.507753114
20	0.4914500281
21	0.4771788917
22	0.464513195
23	0.4547339884
24	0.4427957034
25	0.4315681052
26	0.4211760294
27	0.4121633142
28	0.4025637208
29	0.3952925067
30	0.3891450521
31	0.3839481355
32	0.375004849
33	0.3692866759
34	0.3632542503
35	0.3572710599
36	0.3540017448
37	0.3477952429
38	0.3436701338
39	0.3390862151
40	0.3337713835
41	0.3293752341
42	0.3249271782
43	0.321682217
44	0.319013722
45	0.315569779
46	0.3126692943
47	0.3087922346
48	0.3057216965
49	0.3030825443
50	0.2997949555
51	0.2972619182
52	0.2944843108
53	0.2928448199
54	0.2905612814
55	0.2880015385
56	0.2856813884
57	0.2840667586
58	0.2819795226
59	0.2799353209
60	0.2774630929
61	0.2759153027
62	0.2746801747
63	0.2737198112
64	0.2700906924
65	0.268967417
66	0.2683814527
67	0.2670397548
68	0.2660809661
69	0.264889098
70	0.2626424369
71	0.2606253049
72	0.2594228029
73	0.2572685623
74	0.2556811197
75	0.2545384742
76	0.2540403955
77	0.2527366728
78	0.2514971062
79	0.2505284967
80	0.2491099511
81	0.2485776732
82	0.2475748059
83	0.2468714158
84	0.246279015
85	0.2453122399
86	0.2444907727
87	0.2439057475
88	0.243327341
89	0.2429567153
90	0.2419378409
91	0.2397523321
92	0.2373183344
93	0.2368651855
94	0.2354404088
95	0.2351507327
96	0.2347821805
97	0.2332767152
98	0.2329505136
99	0.2323723997
100	0.2316875769
101	0.2304925646
102	0.2301806051
103	0.2284762883
104	0.2281768333
105	0.2276452179
106	0.2272036642
107	0.226217217
108	0.2239699081
109	0.2235846477
110	0.2218886325
111	0.2214415111
112	0.2212854241
113	0.2190042283
114	0.2188662511
115	0.2187630884
116	0.2185309602
117	0.216153638
118	0.2151738326
119	0.2148141025
120	0.2144621655
121	0.2142638757
122	0.2141878336
123	0.21376097
124	0.2134905845
125	0.2131029376
126	0.2112731212
127	0.2111903208
128	0.2103161979
129	0.2101658146
130	0.2100891506
131	0.2099551382
132	0.2098379984
133	0.2082537521
134	0.2081615854
135	0.2060340483
136	0.2053618257
137	0.2051098282
138	0.2049364755
139	0.2044939688
140	0.2043644842
141	0.204086681
142	0.203892009
143	0.2036325695
144	0.201825399
145	0.2017690648
146	0.2015430675
147	0.2013145272
148	0.2012004112
149	0.2003213329
150	0.2001522202
151	0.2001093671
152	0.2000139407
153	0.1988482584
154	0.1987199743
155	0.1986817199
156	0.1985226552
157	0.1984400867
158	0.1983447108
159	0.1981751238
160	0.1965734345
161	0.1965083464
162	0.1963296367
163	0.1962273466
164	0.196174721
165	0.196027256
166	0.1947284613
167	0.1945145339
168	0.1944841048
169	0.1943515915
170	0.1933614526
171	0.1932738761
172	0.1932356975
173	0.1931812767
174	0.1931333802
175	0.1931087006
176	0.1929418737
177	0.1927672259
178	0.1927028703
179	0.1914638834
180	0.1913440684
181	0.1910238027
182	0.1909082512
183	0.1908446848
184	0.1904987213
185	0.1904332084
186	0.1903631038
187	0.1903103651
188	0.1902129527
189	0.1901855091
190	0.1901287751
191	0.1900830786
192	0.1900241627
193	0.1889586689
194	0.1888002765
195	0.1887095132
196	0.1886159277
197	0.1884890886
198	0.1884420189
199	0.187514139
200	0.1874706619
201	0.1873645014
202	0.1866779655
203	0.1866123415
204	0.1865922638
205	0.1865220509
206	0.1864649086
207	0.1856435574
208	0.1855532917
209	0.1855276167
210	0.1854385108
211	0.1846005361
212	0.1845706796
213	0.1844911591
214	0.1844599728
215	0.1843129454
216	0.1833203978
217	0.1832959945
218	0.183253067
219	0.1831862042
220	0.1831251755
221	0.1822848741
222	0.1822348483
223	0.182098322
224	0.1814305026
225	0.1813556397
226	0.1812216224
227	0.181095528
228	0.1810442247
229	0.1810250359
230	0.1809977621
231	0.1808832676
232	0.1807857784
233	0.1807135101
234	0.180636852
235	0.1805645832
236	0.180541569
237	0.1804744402
238	0.1804405685
239	0.1804075605
240	0.1803580675
241	0.1796311855
242	0.1787953756
243	0.1787816082
244	0.1787453751
245	0.1786751833
246	0.1786403459
247	0.1786253949
248	0.1786082163
249	0.1785793239
250	0.1785155311
251	0.1784920834
252	0.1784397454
253	0.1784074534
254	0.1783508416
255	0.1782960397
256	0.1782740692
257	0.1782166486
258	0.1781386873
259	0.1780834119
260	0.1775286817
261	0.1775061095
262	0.177462705
263	0.1774222144
264	0.1773927146
265	0.1773465299
266	0.1760825334
267	0.176002182
268	0.1759362848
269	0.1758966584
270	0.1758500907
271	0.1758197985
272	0.1758083139
273	0.17537598
274	0.1753067208
275	0.1742038401
276	0.1741806083
277	0.1741523153
278	0.1741267365
279	0.173440227
280	0.1726804106
281	0.1726469088
282	0.1725803897
283	0.1725577846
284	0.1725352846
285	0.1725080675
286	0.1724920667
287	0.1707328342
288	0.1707130355
289	0.170685346
290	0.1704091368
291	0.1703789209
292	0.1703439767
293	0.1703098512
294	0.1702153867
295	0.1701904995
296	0.1701295244
297	0.1701107469
298	0.1693858091
299	0.1693597825
300	0.1690171577
301	0.1686633311
302	0.1686113876
303	0.1685850332
304	0.1685641325
305	0.1685397011
306	0.1684958462
307	0.1684854548
308	0.1684464628
309	0.168426755
310	0.1684077438
311	0.1683880212
312	0.1683428662
313	0.167604668
314	0.1675730335
315	0.1675453905
316	0.1675218685
317	0.1667490132
318	0.166202082
319	0.1661927262
320	0.1661581762
321	0.1661360377
322	0.1649452349
323	0.1649393563
324	0.1649245566
325	0.1648948757
326	0.1646842431
327	0.1646501384
328	0.1646174572
329	0.1646057788
330	0.1645666746
331	0.1632852409
332	0.1632789452
333	0.1629602995
334	0.1629355083
335	0.1628888483
336	0.1618294888
337	0.1618171743
338	0.1618070043
339	0.1617457938
340	0.1617334043
341	0.1617171019
342	0.1616982601
343	0.161644463
344	0.1616192094
345	0.1615937477
346	0.1615832335
347	0.1615554281
348	0.1615354598
349	0.1615073351
350	0.1614742403
351	0.1614477448
352	0.1614288094
353	0.1613965552
354	0.1609847709
355	0.1609715152
356	0.1609490884
357	0.1604763839
358	0.1604278069
359	0.1603878346
360	0.1603758217
361	0.1603633238
362	0.1603453196
363	0.1603165881
364	0.1602923927
365	0.1602751808
366	0.1602260589
367	0.1601841015
368	0.1601714343
369	0.1601478752
370	0.1601276962
371	0.1601135057
372	0.1600917675
373	0.1598785676
374	0.1593356914
375	0.1593180468
376	0.1593008643
377	0.159284335
378	0.1592455855
379	0.1590477978
380	0.1590037062
381	0.1589819058
382	0.158966081
383	0.1589474574
384	0.1589095239
385	0.1588976523
386	0.1588754931
387	0.158857115
388	0.1588248958
389	0.1588152845
390	0.158808311
391	0.1579472319
392	0.1579176907
393	0.1579091061
394	0.1578871162
395	0.1578709073
396	0.1578593731
397	0.1578531041
398	0.1578283827
399	0.1578199538
400	0.1577968706
401	0.157779058
402	0.1577568856
403	0.1577509776
404	0.1577332687
405	0.1577156399
406	0.1571441582
407	0.1571284096
408	0.1568630923
409	0.1568432656
410	0.1568169547
411	0.1567965999
412	0.1567795381
413	0.1567409009
414	0.1567321507
415	0.1567021923
416	0.1566863573
417	0.156665224
418	0.1566362904
419	0.1566303207
420	0.156036014
421	0.1560257852
422	0.156012023
423	0.1560071138
424	0.1559893288
425	0.1559778654
426	0.1559538057
427	0.1559409115
428	0.1559249862
429	0.1558936367
430	0.15580907
431	0.1548351083
432	0.1548299953
433	0.1548112246
434	0.1547944983
435	0.1547851667
436	0.1547616485
437	0.1547568651
438	0.1547341617
439	0.154718141
440	0.1547041708
441	0.1546833663
442	0.1543773119
443	0.1543682076
444	0.1543581738
445	0.1543466683
446	0.1543286035
447	0.1543127578
448	0.1542994847
449	0.1534435479
450	0.153242996
451	0.1532287954
452	0.1527232538
453	0.1527109912
454	0.1527011671
455	0.1524796452
456	0.1520325077
457	0.1520152646
458	0.1520021606
459	0.1519905014
460	0.1519775454
461	0.1518982274
462	0.1518797432
463	0.1518706192
464	0.1518649766
465	0.1518543383
466	0.1518433315
467	0.1518364165
468	0.1518262219
469	0.1518090583
470	0.1518000043
471	0.151153316
472	0.1511397712
473	0.1511165429
474	0.1511072008
475	0.151077292
476	0.1510575517
477	0.1510498137
478	0.150854602
479	0.1508450384
480	0.1508328773
481	0.150822741
482	0.1508082821
483	0.1507875989
484	0.1507808518
485	0.1507688552
486	0.1507634518
487	0.1507436764
488	0.1507186805
489	0.1507021037
490	0.1506939255
491	0.1506884586
492	0.1506799261
493	0.150668033
494	0.150632419
495	0.150625507
496	0.1506165148
497	0.1506033541
498	0.150573729
499	0.1505659889
500	0.150546454
501	0.149846188
502	0.1498373605
503	0.1498311033
504	0.1498209488
505	0.1498108748
506	0.1497990886
507	0.1497700285
508	0.149757272
509	0.1497492372
510	0.1497384798
511	0.1497186106
512	0.1497108014
513	0.1497025269
514	0.1496945418
515	0.1496859781
516	0.1496812126
517	0.1496748045
518	0.1496529106
519	0.1496381353
520	0.1488179798
521	0.148800835
522	0.1485436555
523	0.1484243658
524	0.1484182168
525	0.1474922198
526	0.1474861091
527	0.1474699249
528	0.1474649383
529	0.1474562413
530	0.1474453425
531	0.1474312884
532	0.1474264709
533	0.1474216127
534	0.1467642281
535	0.146758399
536	0.1467510819
537	0.1467360511
538	0.1467281358
539	0.1460015763
540	0.1459934632
541	0.1459894611
542	0.1459755193
543	0.1459690179
544	0.1459575934
545	0.1459509638
546	0.1459416019
547	0.145930688
548	0.1459176889
549	0.1459121386
550	0.1459090705
551	0.1459065568
552	0.1458999896
553	0.14588979
554	0.145881847
555	0.1458697131
556	0.1458441169
557	0.1458364779
558	0.1458226298
559	0.1458039375
560	0.1457999145
561	0.1457965411
562	0.1457911093
563	0.1457849164
564	0.1457776946
565	0.145772937
566	0.1457704781
567	0.1457574222
568	0.145735955
569	0.1457270521
570	0.1457156664
571	0.1457091215
572	0.1457021477
573	0.1456870616
574	0.1454941465
575	0.145463989
576	0.1454551311
577	0.1454445526
578	0.1454333008
579	0.1454254947
580	0.1454072653
581	0.1454009067
582	0.1453871886
583	0.1453774359
584	0.145369416
585	0.1453612865
586	0.1453444863
587	0.1453393881
588	0.1453334687
589	0.1453257259
590	0.1453238519
591	0.1453133527
592	0.1453036089
593	0.1452931786
594	0.1452865164
595	0.1452573692
596	0.1452548307
597	0.1452413592
598	0.1452193451
599	0.1452051531
600	0.1451898673
601	0.1451806434
602	0.1451784242
603	0.145111686
604	0.1451049275
605	0.1450913799
606	0.1450785828
607	0.1450720201
608	0.1450630674
609	0.1450564088
610	0.1450462458
611	0.1450332843
612	0.1450207875
613	0.1450146787
614	0.1450081227
615	0.1450012365
616	0.1449856229
617	0.1449742704
618	0.1449649048
619	0.1449596218
620	0.1446749484
621	0.1446645185
622	0.1446596885
623	0.1446485192
624	0.1446307781
625	0.1446150132
626	0.1445997038
627	0.1445864256
628	0.1445816057
629	0.1445728698
630	0.1445600716
631	0.1445513509
632	0.1445477741
633	0.1445392477
634	0.144532488
635	0.1445258897
636	0.1445165778
637	0.1445110758
638	0.1445050508
639	0.1444933227
640	0.1444806326
641	0.1444788394
642	0.1444713355
643	0.1441154248
644	0.1441105643
645	0.144106553
646	0.1440959875
647	0.144088893
648	0.1440872197
649	0.1440848443
650	0.1440785007
651	0.1440170246
652	0.1440138575
653	0.1440072033
654	0.1439934576
655	0.1439692539
656	0.1439600681
657	0.1439518942
658	0.1439406506
659	0.14337735
660	0.143367436
661	0.1433618565
662	0.143357306
663	0.1433422742
664	0.1433384649
665	0.1433296684
666	0.1429174413
667	0.1428969345
668	0.1428868642
669	0.1428825213
670	0.142876554
671	0.1428735749
672	0.1428669538
673	0.1428623548
674	0.142857658
675	0.1428492472
676	0.1428464043
677	0.1428423735
678	0.1428389151
679	0.142830107
680	0.1428131085
681	0.1428093375
682	0.1427957551
683	0.1424673565
684	0.1424599498
685	0.1424572542
686	0.1424496969
687	0.1424455875
688	0.1424412617
689	0.1424343158
690	0.1424274126
691	0.1424216089
692	0.142405749
693	0.1423986378
694	0.142394083
695	0.1423865519
696	0.1423806113
697	0.1423767031
698	0.1423623435
699	0.1423584689
700	0.1423433279
701	0.1423390246
702	0.1423331689
703	0.1423306111
704	0.1423027547
705	0.1422908137
706	0.1422827228
707	0.1422769741
708	0.1422714892
709	0.1422655943
710	0.1422600252
711	0.1422558842
712	0.1422488345
713	0.1422404533
714	0.1422277367
715	0.1422234556
716	0.1422167121
717	0.1422141488
718	0.1422095397
719	0.1422066126
720	0.1421986746
721	0.1421882759
722	0.142186396
723	0.1417461758
724	0.1417399828
725	0.1417363761
726	0.1417285564
727	0.1417159299
728	0.1417060794
729	0.1417002811
730	0.1416975979
731	0.1416753953
732	0.1416722668
733	0.1416643551
734	0.1416609399
735	0.1416538981
736	0.1416494407
737	0.1416447819
738	0.141632181
739	0.1416237051
740	0.1416111723
741	0.141606588
742	0.1415980103
743	0.1415925144
744	0.1415846915
745	0.1415736887
746	0.1415676646
747	0.141559285
748	0.1415551287
749	0.1415367083
750	0.1415296718
751	0.1413559483
752	0.1413463869
753	0.1413405315
754	0.1413334062
755	0.1413281743
756	0.1413267441
757	0.1413227833
758	0.1413137883
759	0.1413107315
760	0.1413048672
761	0.1413009649
762	0.1412929885
763	0.1412879337
764	0.1412817053
765	0.1412762651
766	0.1412671045
767	0.1412641929
768	0.1412552556
769	0.1412473509
770	0.1412455562
771	0.141241887
772	0.1412263543
773	0.1412204095
774	0.1412126551
775	0.1412047286
776	0.141198072
777	0.1403920278
778	0.1398940932
779	0.1398885035
780	0.1398795037
781	0.1398648328
782	0.1398588141
783	0.1398475875
784	0.1398400324
785	0.1398381114
786	0.1398313552
787	0.1398274349
788	0.1398215169
789	0.1398164347
790	0.1398130839
791	0.1398037693
792	0.1398009821
793	0.139794485
794	0.139788372
795	0.1397849071
796	0.139782934
797	0.1397782612
798	0.1397742364
799	0.1397635873
800	0.1397600587
801	0.1397564517
802	0.1397521326
803	0.1397460077
804	0.1397395206
805	0.1397312448
806	0.139728905
807	0.1397193102
808	0.139715892
809	0.1397117696
810	0.1396967403
811	0.1396853549
812	0.1395929191
813	0.1395860727
814	0.1393225035
815	0.1393161523
816	0.1393118186
817	0.1393046068
818	0.1393004466
819	0.1392929151
820	0.1392909292
821	0.139283392
822	0.1392797941
823	0.1392774167
824	0.1392738099
825	0.1392659083
826	0.1392632237
827	0.139261626
828	0.1392583998
829	0.1392535668
830	0.1392474892
831	0.1392013198
832	0.1391973851
833	0.1391900715
